,callDateTime,priority,district,description,callNumber,incidentLocation,location
144,7/13/2015 11:33,High,ND,Traffic Stop,P151941126,PIMLICO RD/OAKLEY AV,"(39.348741,-76.668932)"
145,7/13/2015 11:30,Low,SW,AUTO ACCIDENT,P151941127,S CATON AV/JAMES ST,"(39.258464,-76.664409)"
146,7/13/2015 11:32,Medium,CD,911/NO  VOICE,P151941128,1700 EUTAW PL,"(39.3068760,-76.6304080)"
147,7/13/2015 11:28,Low,NW,DESTRUCT PROPTY,P151941129,5300 BEAUFORT AV,"(39.3484010,-76.6821630)"
148,7/13/2015 11:34,Non-Emergency,SE,Other,P151941130,700 PRESIDENT ST,"(39.2830033,-76.6015033)"
149,7/13/2015 11:32,Medium,ND,911/NO  VOICE,P151941131,2400 W BELVEDERE AV,"(39.3549016,-76.6622292)"
150,7/13/2015 11:32,Medium,NW,DISORDERLY,P151941132,4800 GARRISON BL,"(39.3407919,-76.6835008)"
151,7/13/2015 11:34,Medium,NW,CHECK BEING,P151941134,3600 OAKMONT AV,"(39.3444490,-76.6769870)"
152,7/13/2015 11:35,High,SE,RA POLICE,P151941135,600 S BROADWAY,"(39.2844034,-76.5937380)"
153,7/13/2015 11:34,Low,ND,LARCENCY,P151941136,0 ST MARTINS RD,"(39.3347772,-76.6180794)"
154,7/13/2015 11:32,Medium,WD,DISORDERLY,P151941137,600 BAKER ST,"(39.3082782,-76.6404077)"
155,7/13/2015 11:32,Medium,WD,DISORDERLY,P151941138,1100 N FULTON AV,"(39.3010590,-76.6462480)"
156,7/13/2015 11:36,Medium,SD,Warrant Service,P151941139,SOUTHERN DISTRICT,"(39.253253,-76.615524)"
157,7/13/2015 11:35,Medium,CD,911/NO  VOICE,P151941140,0 N GREENE ST,"(39.2892172,-76.6236974)"
158,7/13/2015 11:34,Medium,SD,SUSPICIOUS PERS,P151941141,1400 HOLLINS ST,"(39.2877090,-76.6396610)"
159,7/13/2015 11:36,Low,CD,HIT AND RUN,P151941142,1000 MYRTLE AV,"(39.2964119,-76.6299970)"
160,7/13/2015 11:36,Medium,WD,COMMON ASSAULT,P151941143,2400 WESTWOOD AV,"(39.3086920,-76.6563490)"
161,7/13/2015 11:37,Low,NE,LARCENCY,P151941144,6600 MORAVIA PARK DR,"(39.3129260,-76.5360670)"
162,7/13/2015 11:37,Medium,ED,911/NO  VOICE,P151941145,700 E PRESTON ST,"(39.3050029,-76.6080622)"
163,7/13/2015 11:38,Medium,SD,NARCOTICSOutside,P151941147,1100 W PRATT ST,"(39.2858777,-76.6352564)"
164,7/13/2015 11:38,Low,SW,RECOVERED VEH,P151941148,1100 N LONGWOOD ST,"(39.3006169,-76.6672886)"
165,7/13/2015 11:39,High,NE,Traffic Stop,P151941149,HARFORD RD/CHESTERFIELD AV,"(39.331394,-76.579513)"
166,7/13/2015 11:37,Medium,WD,DISORDERLY,P151941151,1200 MOSHER ST,"(39.3001805,-76.6373764)"
